Number,"Asset Key","Asset Definition",Status,Service,"Access Point"
291855,08:26:97:93:E8:5F,Zyxel,"Not Available",1251804818,
298846,4c:c5:3e:7a:9b:a8,Zyxel,"Not Available",1251826734,
235053,08:26:97:72:50:f1,zyxel,"Not Available",1251665805,
254881,08:26:97:84:C8:55,zyxel,"Not Available",1251711820,
274703,08:26:97:95:3a:93,Zyxel,"Not Available",1251756971,
257703,08:26:97:89:65:A9,Zyxel,"Not Available",1251713630,
262292,08:26:97:84:AC:4D,Zyxel,"Not Available",1251724719,
282413,4C:C5:3E:5F:21:45,Zyxel,"Not Available",1251786784,
244036,08:26:97:6B:BE:BE,zyxel,"Not Available",1251674340,
284709,08:26:97:93:f2:7f,Zyxel,"Not Available",1251795469,
250671,08:26:97:84:82:29,Zyxel,"Not Available",1251697892,
271724,08:26:97:95:39:37,Zyxel,"Not Available",1251748096,
292214,08:26:97:93:ef:73,Zyxel,"Not Available",1251817456,
238493,98:0d:67:f3:6a:84,zyxel,"Not Available",1251646276,
274928,08:26:97:93:4C:83,Zyxel,"Not Available",1251761189,
299556,4C:C5:3E:7A:6C:B0,Zyxel,"Not Available",1251820444,
257958,08:26:97:84:a4:85,Zyxel,"Not Available",1251723538,
263640,08:26:97:7b:6d:11,Zyxel,"Not Available",1251730474,
282745,4C:C5:3E:5F:21:51,Zyxel,"Not Available",1251788708,
270413,08:26:97:95:38:fb,Zyxel,"Not Available",1251748687,
285116,4c:c5:3e:72:9a:d5,Zyxel,"Not Available",1251797776,
292581,08:26:97:93:e8:83,Zyxel,"Not Available",1251819877,
238538,98:0D:67:F3:2E:FC,zyxel,"Not Available",1251671000,
245505,98:0D:67:F3:AA:98,zyxel,"Not Available",1251687306,
251020,08:26:97:84:88:41,zyxel,"Not Available",1251703745,
273817,08:26:97:84:60:5d,Zyxel,"Not Available",1251762471,
256752,08:26:97:89:62:25,zyxel,"Not Available",1251714450,
275253,08:26:97:93:50:2B,Zyxel,"Not Available",1251767134,
300079,4c:c5:3e:72:d7:dd,Zyxel,"Not Available",1251827631,
264506,08:26:97:95:37:c3,Zyxel,"Not Available",1251738167,
281467,4c:c5:3e:5f:22:59,Zyxel,"Not Available",1466039,
239586,98:0d:67:f3:a7:2c,zyxel,"Not Available",1251666442,
298957,4C:C5:3E:5E:CD:21,Zyxel,"Not Available",1251827801,
246728,08:26:97:6b:aa:4e,zyxel,"Not Available",1251687269,
270689,08:26:97:84:5A:15,Zyxel,"Not Available",1251751556,
288291,08:26:97:94:2E:A3,Zyxel,"Not Available",1251801974,
251828,98:0D:67:F7:A3:51,zyxel,"Not Available",1251753609,
297816,08:26:97:94:2A:2F,Zyxel,"Not Available",1251794033,
257050,08:26:97:84:81:51,zyxel,"Not Available",1251717676,
275525,08:26:97:76:62:B4,Zyxel,"Not Available",1251774238,
258799,08:26:97:7B:4A:E5,Zyxel,"Not Available",1251729176,
281683,4C:C5:3E:5F:25:DD,Zyxel,"Not Available",1669036,
283970,4c:c5:3e:72:d9:69,Zyxel,"Not Available",1251793036,
288772,4C:C5:3E:5F:20:0D,Zyxel,"Not Available",1251795957,
267419,08:26:97:93:46:E3,Zyxel,"Not Available",1251738352,
249784,08:26:97:7b:6e:6d,zyxel,"Not Available",1251674503,
271028,08:26:97:7B:4A:9D,Zyxel,"Not Available",1251754299,
288801,4C:C5:3E:72:9A:8D,Zyxel,"Not Available",1251799860,
252141,08:26:97:7c:6d:91,Zyxel,"Not Available",1251669939,
274331,08:26:97:95:08:5f,Zyxel,"Not Available",1251762707,
298269,4C:C5:3E:7A:6C:8C,Zyxel,"Not Available",1251824934,
257298,08:26:97:84:B5:AD,zyxel,"Not Available",1251669644,
275835,08:26:97:93:D9:E3,Zyxel,"Not Available",1251776365,
260920,08:26:97:84:5b:d1,Zyxel,"Not Available",1251732178,
243402,98:0d:67:f3:09:7c,zyxel,"Not Available",1251679372,
269243,08:26:97:95:35:B3,Zyxel,"Not Available",1251830818,
284257,4C:C5:3E:72:D0:2D,Zyxel,"Not Available",1251794892,
250165,08:26:97:7C:64:A9,zyxel,"Not Available",1251694660,
291673,08:26:97:92:40:f5,Zyxel,"Not Available",1251814448,
252675,08:26:97:89:60:75,Zyxel,"Not Available",1251672526,
274567,08:26:97:93:dc:6b,Zyxel,"Not Available",1251757511,
298627,08:26:97:93:f2:f7,Zyxel,"Not Available",1251822006,
276384,08:26:97:95:3F:73,Zyxel,"Not Available",1251761714,
282077,08:26:97:94:24:53,Zyxel,"Not Available",1251774561,
284549,4c:c5:3e:72:24:d9,Zyxel,"Not Available",1251779201,
284001,08:26:97:72:aa:f1,Zyxel,"Not Available",1251785723,
258880,08:26:97:7B:4A:F1,Zyxel,"Not Available",1251720698,
243124,98:0d:67:f3:09:94,zyxel,"Not Available",1251650413,
267467,08:26:97:93:47:37,Zyxel,"Not Available",1251742421,
284032,4C:C5:3E:72:92:35,Zyxel,"Not Available",1251793478,
249921,08:26:97:7B:78:75,zyxel,"Not Available",1251693262,
271069,08:26:97:64:EC:29,Zyxel,"Not Available",1251769147,
288909,4C:C5:3E:72:23:C5,Zyxel,"Not Available",1251800084,
252306,08:26:97:7c:9e:39,Zyxel,"Not Available",1251686128,
274385,08:26:97:93:4F:EF,Zyxel,"Not Available",1251757216,
298363,4C:C5:3E:5F:29:E5,Zyxel,"Not Available",1251815557,
